"month","orders","revenue","mom_growth_pct","revenue_3m_avg"
2022-01-01,31,35624.89,,35624.89
2022-02-01,28,29908.89,-16.0,32766.89
2022-03-01,31,30309.28,1.3,31947.69
2022-04-01,30,30781.96,1.6,30333.38
2022-05-01,31,41629.24,35.2,34240.16
2022-06-01,30,29847.33,-28.3,34086.18
2022-07-01,31,28686.24,-3.9,33387.60
2022-08-01,31,29186.45,1.7,29240.01
2022-09-01,30,28791.07,-1.4,28887.92
2022-10-01,31,29265.55,1.6,29081.02
2022-11-01,30,32329.49,10.5,30128.70
2022-12-01,31,25463.91,-21.2,29019.65
2023-01-01,31,37795.82,48.4,31863.07
2023-02-01,28,30980.36,-18.0,31413.36
2023-03-01,31,26342.74,-15.0,31706.31
2023-04-01,30,26102.11,-0.9,27808.40
2023-05-01,31,32482.46,24.4,28309.10
2023-06-01,30,35082.65,8.0,31222.41
2023-07-01,31,27788.64,-20.8,31784.58
2023-08-01,31,30072.53,8.2,30981.27
2023-09-01,30,32976.32,9.7,30279.16
2023-10-01,31,29299.98,-11.1,30782.94
2023-11-01,30,30161.52,2.9,30812.61
2023-12-01,31,26830.66,-11.0,28764.05
2024-01-01,31,26198.08,-2.4,27730.09
2024-02-01,29,32077.44,22.4,28368.73
2024-03-01,31,33569.08,4.7,30614.87
2024-04-01,30,25985.21,-22.6,30543.91
2024-05-01,31,35674.59,37.3,31742.96
2024-06-01,30,25161.90,-29.5,28940.57
2024-07-01,31,24587.89,-2.3,28474.79
2024-08-01,31,40553.72,64.9,30101.17
2024-09-01,30,32560.11,-19.7,32567.24
2024-10-01,31,22583.11,-30.6,31898.98
2024-11-01,30,31569.10,39.8,28904.11
2024-12-01,31,32688.90,3.5,28947.04
2025-01-01,31,23935.00,-26.8,29397.67
2025-02-01,28,27825.45,16.3,28149.78
2025-03-01,31,31729.15,14.0,27829.87
2025-04-01,30,21502.78,-32.2,27019.13
2025-05-01,31,29098.30,35.3,27443.41
2025-06-01,30,30727.81,5.6,27109.63
2025-07-01,31,34141.22,11.1,31322.44
2025-08-01,31,35800.45,4.9,33556.49
2025-09-01,30,31010.22,-13.4,33650.63
2025-10-01,31,20678.85,-33.3,29163.17
2025-11-01,30,25051.05,21.1,25580.04
2025-12-01,31,38302.05,52.9,28010.65
