"order_year","product_category","region","orders","revenue","avg_order_value","pct_of_year_revenue"
2022,Beauty,East,24,18699.38,779.14,5.0
2022,Beauty,North,10,11963.27,1196.33,3.2
2022,Beauty,South,10,11002.97,1100.30,3.0
2022,Beauty,West,9,12838.40,1426.49,3.5
2022,Clothing,East,29,29864.16,1029.80,8.0
2022,Clothing,North,26,23834.38,916.71,6.4
2022,Clothing,South,23,20976.25,912.01,5.6
2022,Clothing,West,29,32202.83,1110.44,8.7
2022,Electronics,East,26,24482.89,941.65,6.6
2022,Electronics,North,49,54316.88,1108.51,14.6
2022,Electronics,South,26,25890.85,995.80,7.0
2022,Electronics,West,29,27120.50,935.19,7.3
2022,Home,East,11,10186.45,926.04,2.7
2022,Home,North,23,27569.57,1198.68,7.4
2022,Home,South,18,20657.83,1147.66,5.6
2022,Home,West,23,20217.69,879.03,5.4
2023,Beauty,East,8,11606.27,1450.78,3.2
2023,Beauty,North,15,14092.83,939.52,3.9
2023,Beauty,South,11,15840.98,1440.09,4.3
2023,Beauty,West,15,15166.88,1011.13,4.1
2023,Clothing,East,32,31922.02,997.56,8.7
2023,Clothing,North,22,16375.20,744.33,4.5
2023,Clothing,South,24,23606.58,983.61,6.5
2023,Clothing,West,30,26612.73,887.09,7.3
2023,Electronics,East,40,38731.28,968.28,10.6
2023,Electronics,North,39,38907.81,997.64,10.6
2023,Electronics,South,27,25526.43,945.42,7.0
2023,Electronics,West,23,21633.36,940.58,5.9
2023,Home,East,27,22662.70,839.36,6.2
2023,Home,North,17,20482.21,1204.84,5.6
2023,Home,South,17,17609.46,1035.85,4.8
2023,Home,West,18,25139.05,1396.61,6.9
2024,Beauty,East,7,9529.69,1361.38,2.6
2024,Beauty,North,15,13076.44,871.76,3.6
2024,Beauty,South,16,18801.66,1175.10,5.2
2024,Beauty,West,11,11957.16,1087.01,3.3
2024,Clothing,East,22,17663.35,802.88,4.9
2024,Clothing,North,26,22821.60,877.75,6.3
2024,Clothing,South,31,26795.07,864.36,7.4
2024,Clothing,West,27,35038.78,1297.73,9.6
2024,Electronics,East,38,46099.91,1213.16,12.7
2024,Electronics,North,32,32943.99,1029.50,9.1
2024,Electronics,South,35,32273.86,922.11,8.9
2024,Electronics,West,24,21104.00,879.33,5.8
2024,Home,East,26,20394.08,784.39,5.6
2024,Home,North,16,15902.40,993.90,4.4
2024,Home,South,19,20443.41,1075.97,5.6
2024,Home,West,21,18363.73,874.46,5.1
2025,Beauty,East,12,13569.81,1130.82,3.9
2025,Beauty,North,15,10178.99,678.60,2.9
2025,Beauty,South,8,8357.04,1044.63,2.4
2025,Beauty,West,11,8673.27,788.48,2.5
2025,Clothing,East,21,13036.98,620.81,3.7
2025,Clothing,North,32,31266.02,977.06,8.9
2025,Clothing,South,27,31538.11,1168.08,9.0
2025,Clothing,West,25,25426.06,1017.04,7.3
2025,Electronics,East,31,27984.95,902.74,8.0
2025,Electronics,North,37,36906.03,997.46,10.6
2025,Electronics,South,34,33029.72,971.46,9.4
2025,Electronics,West,31,35321.01,1139.39,10.1
2025,Home,East,23,20268.64,881.25,5.8
2025,Home,North,13,11470.74,882.36,3.3
2025,Home,South,20,19021.17,951.06,5.4
2025,Home,West,25,23753.79,950.15,6.8
